time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-06T16:37:48.990Z,60.2679,-140.6967,6.2,1.8,ml,,,,0.78,ak,ak20333508,2018-11-06T16:44:47.257Z,"96km NNW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-06T16:27:49.657Z,61.2965,-150.5556,37.8,1.8,ml,,,,0.74,ak,ak20333459,2018-11-06T16:40:25.112Z,"36km WNW of Anchorage, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-11-06T16:15:23.160Z,33.9988333,-116.3135,9.31,0.91,ml,21,76,0.09471,0.2,ci,ci38351416,2018-11-06T16:19:07.883Z,"15km S of Joshua Tree, CA",earthquake,0.38,0.82,0.131,18,automatic,ci,ci
2018-11-06T16:14:24.715Z,60.1171,-141.125,15.9,1.1,ml,,,,0.62,ak,ak20333450,2018-11-06T16:20:38.118Z,"72km E of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-06T16:11:57.260Z,33.489,-116.7895,3.09,0.75,ml,31,37,0.02501,0.24,ci,ci38351408,2018-11-06T16:16:14.511Z,"9km NE of Aguanga, CA",earthquake,0.28,0.97,0.116,26,automatic,ci,ci
2018-11-06T16:11:39.620Z,-22.1823,-174.4488,10,5.5,mww,,43,5.242,1.63,us,us2000i7iz,2018-11-06T16:44:36.627Z,"107km SSE of `Ohonua, Tonga",earthquake,8,1.8,0.071,19,reviewed,us,us
2018-11-06T16:07:58.351Z,61.2044,-150.6143,41.1,1.7,ml,,,,0.49,ak,ak20333448,2018-11-06T16:11:44.574Z,"38km W of Anchorage, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-11-06T16:05:25.946Z,60.4235,-147.4137,15.8,1.8,ml,,,,1.33,ak,ak20333444,2018-11-06T16:10:03.514Z,"79km ESE of Whittier, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-06T16:00:53.860Z,19.4043331,-155.2806702,0.03,1.85,ml,21,35,0.01111,0.11,hv,hv70676261,2018-11-06T16:06:37.030Z,"5km WSW of Volcano, Hawaii",earthquake,0.15,0.18,0.25,9,automatic,hv,hv
2018-11-06T15:53:48.160Z,33.4991667,-116.8071667,2.57,0.3,ml,15,72,0.01435,0.18,ci,ci38351376,2018-11-06T15:57:31.390Z,"8km NE of Aguanga, CA",earthquake,0.37,0.32,0.095,7,automatic,ci,ci
